season;episode;speaker;Symptom;Test;Drug;Procedure;Intent;diagnosis_stage;Sarcasm;Emotion;Organ;correct_prediction;text;medical_entities;q_count;ex_count
1;1;cameron;;;;ventilasyon;açıklama;test;0;endişe;;nörosistiserkozis;ventile edemiyorum;"[{""text"": ""ventilasyon"", ""type"": ""procedure""}]";0;0
1;1;foreman;ödem;;;cerrahi hava yolu;açıklama;test;0;endişe;boğaz;nörosistiserkozis;ödem çok fazla cerrahi hava yolu setini getirin;"[{""text"": ""ödem"", ""type"": ""symptom""}, {""text"": ""cerrahi hava yolu"", ""type"": ""procedure""}, {""text"": ""boğaz"", ""type"": ""anatomy""}]";0;0
1;1;house;;;;;açıklama;değerlendirme;0;nötr;;nörosistiserkozis;genetik ya da çevresel etkenlerin inflamatuvar yanıtı tetikleyip tetiklemediğini anlamamız gerekiyor;[];0;0
1;1;house;;;prednizon;;hipotez;test;0;nötr;;nörosistiserkozis;yüksek doz prednizon başlayın;"[{""text"": ""prednizon"", ""type"": ""drug""}]";0;0
1;1;foreman;;;;;açıklama;hipotez;0;nötr;beyin;nörosistiserkozis;serebral vaskülit tanısını desteklemeye çalışıyorsun;"[{""text"": ""serebral vaskülit"", ""type"": ""disease""}]";0;0
1;1;cameron;;;;;açıklama;hipotez;0;nötr;beyin;nörosistiserkozis;beyindeki damarların iltihabı onun yaşında biri için oldukça nadirdir;"[{""text"": ""serebral vaskülit"", ""type"": ""disease""}, {""text"": ""beyin"", ""type"": ""anatomy""}, {""text"": ""damar"", ""type"": ""anatomy""}]";0;0
1;1;house;;sedimantasyon hızı;;;açıklama;hipotez;0;nötr;;nörosistiserkozis;ama tümör de nadir sedimantasyon hızı yüksekti;"[{""text"": ""tümör"", ""type"": ""disease""}, {""text"": ""sedimantasyon hızı"", ""type"": ""test""}]";0;0
1;1;cameron;;;;biyopsi;açıklama;test;0;nötr;beyin;nörosistiserkozis;bunu biyopsi olmadan teşhis edemezsiniz;"[{""text"": ""biyopsi"", ""type"": ""procedure""}]";0;0
1;1;house;;;;;açıklama;test;0;nötr;;nörosistiserkozis;düzelirse doğru düşündüğümüzü anlarız tedavi aynı zamanda tanı olur;[];0;0
1;1;cameron;;;;;açıklama;test;0;diğer;beyin;nörosistiserkozis;sizi vaskülit için tedavi ediyoruz bu beyindeki damarların iltihaplanması demek;"[{""text"": ""vaskülit"", ""type"": ""disease""}, {""text"": ""beyin"", ""type"": ""anatomy""}, {""text"": ""damar"", ""type"": ""anatomy""}]";0;0
1;1;rebecca;;;;;soru;test;0;endişe;beyin;nörosistiserkozis;yani tümör değil mi beynimde tümör yok mu;"[{""text"": ""tümör"", ""type"": ""disease""}, {""text"": ""beyin"", ""type"": ""anatomy""}]";2;0
1;1;rebecca;görme kaybı;;;;açıklama;değerlendirme;0;endişe;göz;nörosistiserkozis;artık göremiyorum;"[{""text"": ""görme kaybı"", ""type"": ""symptom""}]";0;0
1;1;foreman;;;;defibrilasyon;açıklama;değerlendirme;0;diğer;kalp;nörosistiserkozis;kalbini yeniden çalıştırmak için elektrik şoku vermek zorunda kaldık;"[{""text"": ""defibrilasyon"", ""type"": ""procedure""}, {""text"": ""kalp"", ""type"": ""anatomy""}]";0;0
1;1;foreman;zihinsel durum bozukluğu,konuşma bozukluğu;;;;açıklama;değerlendirme;0;nötr;beyin;nörosistiserkozis;zihinsel durum bozukluğu aralıklı konuşma sorunları da aynı şekilde gelip gidiyor;"[{""text"": ""zihinsel durum bozukluğu"", ""type"": ""symptom""}, {""text"": ""konuşma bozukluğu"", ""type"": ""symptom""}]";0;0
1;1;foreman;körlük,solunum yetmezliği,yürüyememe;;;;açıklama;değerlendirme;0;endişe;beyin sapı,solunum merkezi;nörosistiserkozis;belirtiler sorunun beyin sapına ilerlediğini gösteriyor yakında yürüyemeyecek kalıcı kör olacak ve solunum merkezi çökecek;"[{""text"": ""beyin sapı"", ""type"": ""anatomy""}, {""text"": ""körlük"", ""type"": ""symptom""}, {""text"": ""solunum yetmezliği"", ""type"": ""symptom""}, {""text"": ""solunum merkezi"", ""type"": ""anatomy""}]";0;0
1;1;foreman;;;;;açıklama;değerlendirme;0;nötr;;nörosistiserkozis;eğer tümörse bir ya da iki ayı vardır enfeksiyonsa birkaç hafta damarsal bir nedense belki bir hafta;"[{""text"": ""tümör"", ""type"": ""disease""}, {""text"": ""enfeksiyon"", ""type"": ""disease""}, {""text"": ""damarsal hastalık"", ""type"": ""disease""}]";0;0
1;1;house;;;steroid;;açıklama;değerlendirme;0;nötr;;nörosistiserkozis;steroidler bir şey yaptı ama tam olarak ne yaptığını henüz bilmiyorum;"[{""text"": ""steroid"", ""type"": ""drug""}]";0;0
1;1;house;yürüyememe;;;;açıklama;değerlendirme;0;nötr;beyin;nörosistiserkozis;bu bir tümör değil çok hızlı kötüleşiyor ve artık ayağa kalkamıyor;"[{""text"": ""tümör"", ""type"": ""disease""}, {""text"": ""yürüyememe"", ""type"": ""symptom""}]";0;0
1;1;house;;;;;hipotez;hipotez;1;alaycı;;nörosistiserkozis;nerede jambon varsa orada domuz vardır domuz varsa nörosistiserkozis ihtimali de vardır;"[{""text"": ""nörosistiserkozis"", ""type"": ""disease""}]";0;0
1;1;chase;;;;;soru;hipotez;0;endişe;beyin;nörosistiserkozis;tenya mı beyninde bir kurt olduğunu mu düşünüyorsun;"[{""text"": ""tenya"", ""type"": ""disease""}, {""text"": ""beyin"", ""type"": ""anatomy""}]";2;0
1;1;house;;;;;açıklama;hipotez;0;nötr;bağırsak;nörosistiserkozis;domuz eti iyi pişmezse canlı tenya larvalarını alırsın bağırsağa tutunup büyürler;"[{""text"": ""tenya larvası"", ""type"": ""disease""}, {""text"": ""bağırsak"", ""type"": ""anatomy""}]";0;0
1;1;house;;;;;açıklama;hipotez;0;nötr;bağırsak,kan dolaşımı;nörosistiserkozis;yumurtalar bağırsak duvarını geçip kan dolaşımına karışabilir;"[{""text"": ""bağırsak"", ""type"": ""anatomy""}, {""text"": ""kan dolaşımı"", ""type"": ""anatomy""}]";0;0
1;1;house;;;;;açıklama;hipotez;0;nötr;bağışıklık sistemi;nörosistiserkozis;parazit sağlıklıyken bağışıklık sistemi onun varlığını fark etmez salgılarıyla yanıtı baskılar;"[{""text"": ""parazit"", ""type"": ""disease""}, {""text"": ""bağışıklık sistemi"", ""type"": ""anatomy""}]";0;0
1;1;house;ödem;;;;açıklama;hipotez;0;nötr;beyin;nörosistiserkozis;parazit ölmeye başlayınca bağışıklık sistemi saldırır her şey şişer ve bu beyin için çok kötüdür;"[{""text"": ""parazit"", ""type"": ""disease""}, {""text"": ""ödem"", ""type"": ""symptom""}, {""text"": ""beyin"", ""type"": ""anatomy""}]";0;0
1;1;house;;;;;açıklama;hipotez;0;nötr;beyin;nörosistiserkozis;beyninde bir tenya var hiçbir şey yapmazsak hafta sonunu göremezsin;"[{""text"": ""tenya"", ""type"": ""disease""}, {""text"": ""beyin"", ""type"": ""anatomy""}]";0;0
1;1;chase;;röntgen;;;hipotez;test;0;nötr;;nörosistiserkozis;bunun bir kurt olduğunu gösterecek şekilde kanıtlayabiliriz röntgen invaziv değil ve güvenlidir;"[{""text"": ""röntgen"", ""type"": ""test""}]";0;0
1;1;chase;;röntgen;;;açıklama;test;0;nötr;;nörosistiserkozis;sıradan bir röntgende kurtlar saçma taneleri gibi görünür;"[{""text"": ""röntgen"", ""type"": ""test""}, {""text"": ""kurt"", ""type"": ""disease""}]";0;0
1;1;house;;röntgen;;;hipotez;test;0;nötr;bacak,uyluk kası;nörosistiserkozis;başını değil bacağını röntgenlemeliyiz kurtlar uyluk kasını sever;"[{""text"": ""röntgen"", ""type"": ""test""}, {""text"": ""bacak"", ""type"": ""anatomy""}, {""text"": ""uyluk kası"", ""type"": ""anatomy""}]";0;0
1;1;chase;;;;;açıklama;tanı;0;nötr;;nörosistiserkozis;burada gördüğünüz şey bir kurt larvası;"[{""text"": ""kurt larvası"", ""type"": ""disease""}]";0;0
1;1;rebecca;;;;;soru;tanı;0;endişe;bacak,beyin;nörosistiserkozis;bacağımda varsa beynimde de vardır öyle mi;"[{""text"": ""bacak"", ""type"": ""anatomy""}, {""text"": ""beyin"", ""type"": ""anatomy""}]";1;0
1;1;chase;karın ağrısı,bulantı,baş ağrısı,baş dönmesi,ateş,saç dökülmesi;;albendazol;;açıklama;tanı;0;nötr;;nörosistiserkozis;albendazol kullanacaksın en az bir ay boyunca her gün yemekle alacaksın olası yan etkiler karın ağrısı bulantı baş ağrısı baş dönmesi ateş ve saç dökülmesi;"[{""text"": ""albendazol"", ""type"": ""drug""}, {""text"": ""karın ağrısı"", ""type"": ""symptom""}, {""text"": ""bulantı"", ""type"": ""symptom""}, {""text"": ""baş ağrısı"", ""type"": ""symptom""}, {""text"": ""baş dönmesi"", ""type"": ""symptom""}, {""text"": ""ateş"", ""type"": ""symptom""}, {""text"": ""saç dökülmesi"", ""type"": ""symptom""}]";0;0
1;3;brandon;öksürük,boğaz ağrısı,mide rahatsızlığı,ateş;;;;açıklama;hipotez;0;nötr;;kolşisin zehirlenmesi;gece kötü uyudum boğazım tahriş oldu öksürüyorum midem bozuk ve sanırım ateşim var;"[{""text"":""öksürük"",""type"":""symptom""},{""text"":""boğaz ağrısı"",""type"":""symptom""},{""text"":""mide rahatsızlığı"",""type"":""symptom""},{""text"":""ateş"",""type"":""symptom""}]";0;0
1;3;mindy;döküntü;;;;açıklama;hipotez;0;nötr;cilt;kolşisin zehirlenmesi;vücudunda küçük bir döküntü de var;"{""text"":""döküntü"",""type"":""symptom""}";0;0
1;3;wilson;düşük tansiyon;;ıv sıvı;;açıklama;değerlendirme;0;endişe;;kolşisin zehirlenmesi;kan basıncı iv sıvılara rağmen yükselmiyor;"[{""text"":""düşük tansiyon"",""type"":""symptom""},{""text"":""ıv sıvı"",""type"":""drug""}]";0;0
1;3;house;;tks,abdominal bt;;;açıklama;test;0;nötr;karın;kolşisin zehirlenmesi;tam kan sayımı olağan görünüyor ve abdominal bt'de de açıklayıcı bir bulgu yok;"[{""text"":""tam kan sayımı"",""type"":""test""},{""text"":""abdominal bt"",""type"":""test""}]";0;0
1;3;chase;;;;;hipotez;hipotez;0;nötr;;kolşisin zehirlenmesi;absidia enfeksiyonu olabilir mi;"{""text"":""absidia enfeksiyonu"",""type"":""disease""}";1;0
1;3;foreman;döküntü,öksürük;;;;hipotez;hipotez;0;nötr;;kolşisin zehirlenmesi;artrite eşlik eden vaskülit sinir hasarı yapabilir ama döküntü ve öksürüğü açıklamaz;"[{""text"":""artrit"",""type"":""disease""},{""text"":""vaskülit"",""type"":""disease""},{""text"":""döküntü"",""type"":""symptom""},{""text"":""öksürük"",""type"":""symptom""}]";0;0
1;3;cameron;;;;;hipotez;hipotez;0;nötr;;kolşisin zehirlenmesi;alerji olabilir mi ama tansiyon sorunlarını yine de açıklamıyor;"[{""text"":""alerji"",""type"":""disease""},{""text"":""düşük tansiyon"",""type"":""symptom""}]";1;0
1;3;chase;karın ağrısı;;;;hipotez;hipotez;0;nötr;karın;kolşisin zehirlenmesi;karın ağrısı var karsinoid sendrom olabilir;"[{""text"":""karın ağrısı"",""type"":""symptom""},{""text"":""karsinoid sendrom"",""type"":""disease""}]";0;0
1;3;house;;kortizol stimülasyon testi,ekokardiyografi;geniş spektrum antibiyotik;;hipotez;test;0;nötr;kalp;kolşisin zehirlenmesi;tansiyonu kontrol etmezsek kaybedeceğiz sepsis gibi davranın geniş spektrum antibiyotik başlayın ve kortizol stimülasyon testiyle ekokardiyografi isteyin;"[{""text"":""sepsis"",""type"":""disease""},{""text"":""geniş spektrum antibiyotik"",""type"":""drug""},{""text"":""kortizol stimülasyon testi"",""type"":""test""},{""text"":""ekokardiyografi"",""type"":""test""}]";0;0
1;3;foreman;;kortizol stimülasyon testi;;;açıklama;test;0;nötr;hipofiz,adrenal bez;kolşisin zehirlenmesi;kort stim testi hipofiz ve adrenal bezlerin düzgün çalışıp çalışmadığını gösterecek;"[{""text"":""kortizol stimülasyon testi"",""type"":""test""},{""text"":""hipofiz"",""type"":""anatomy""},{""text"":""adrenal bez"",""type"":""anatomy""}]";0;0
1;3;chase;;std paneli;;;açıklama;test;0;nötr;;kolşisin zehirlenmesi;tam bir cinsel yolla bulaşan hastalık paneli çalıştık sonuçlar negatif;"{""text"":""std paneli"",""type"":""test""}";0;0
1;3;foreman;;viral jel ve titreler;;;hipotez;test;0;nötr;;kolşisin zehirlenmesi;bu tablo viral görünüyor jel ve titre çalışmalarına başlamalıyız;"[{""text"":""viral enfeksiyon"",""type"":""disease""},{""text"":""viral jel ve titreler"",""type"":""test""}]";0;0
1;3;foreman;düşük tansiyon,akciğerde sıvı,böbrek yetmezliği;kreatinin;;;açıklama;değerlendirme;0;endişe;akciğer,böbrek;kolşisin zehirlenmesi;kan basıncı hızla düşüyor akciğerleri sıvıyla doluyor kreatinini yükseliyor ve böbrekleri kapanıyor verdiğimiz tedavi onu düzeltmiyor öldürüyor;"[{""text"":""düşük tansiyon"",""type"":""symptom""},{""text"":""akciğerde sıvı"",""type"":""symptom""},{""text"":""kreatinin"",""type"":""test""},{""text"":""böbrek yetmezliği"",""type"":""disease""}]";0;0
1;3;foreman;karın ağrısı;;;;hipotez;değerlendirme;0;nötr;karın;kolşisin zehirlenmesi;belki de mesele abdominal enfeksiyon değildir düşük tansiyon karın ağrısına yol açıyordur;"[{""text"":""düşük tansiyon"",""type"":""symptom""},{""text"":""karın ağrısı"",""type"":""symptom""}]";0;0
1;3;cameron;karın ağrısı;;;;hipotez;hipotez;0;nötr;kalp,bağırsak;kolşisin zehirlenmesi;viral bir kalp enfeksiyonu bağırsaklara giden kanı azaltır ve karın ağrısı yapabilir;"[{""text"":""viral kalp enfeksiyonu"",""type"":""disease""},{""text"":""karın ağrısı"",""type"":""symptom""},{""text"":""kalp"",""type"":""anatomy""},{""text"":""bağırsak"",""type"":""anatomy""}]";0;0
1;3;foreman;kardiyomiyopati,karın ağrısı,düşük tansiyon,ateş;;;;açıklama;hipotez;0;nötr;kalp;kolşisin zehirlenmesi;bu yaklaşım kardiyomiyopatiyi ağrıyı düşük tansiyonu ve ateşi açıklıyor;"[{""text"":""kardiyomiyopati"",""type"":""disease""},{""text"":""karın ağrısı"",""type"":""symptom""},{""text"":""düşük tansiyon"",""type"":""symptom""},{""text"":""ateş"",""type"":""symptom""}]";0;0
1;3;house;öksürük,döküntü;;;;açıklama;değerlendirme;0;nötr;;kolşisin zehirlenmesi;güzel teori ama hâlâ öksürükle döküntüyü açıklamıyor;"[{""text"":""öksürük"",""type"":""symptom""},{""text"":""döküntü"",""type"":""symptom""}]";0;0
1;3;foreman;;;antibiyotik;;açıklama;değerlendirme;0;endişe;böbrek,karaciğer;kolşisin zehirlenmesi;eğer bu viral ise yazdığımız antibiyotikler böbrek ve karaciğeri bloke edip vücudun enfeksiyonla savaşmasını engelleyebilir;"[{""text"":""viral enfeksiyon"",""type"":""disease""},{""text"":""antibiyotik"",""type"":""drug""},{""text"":""böbrek"",""type"":""anatomy""},{""text"":""karaciğer"",""type"":""anatomy""}]";0;0
1;3;foreman;akut interstisyel nefrit;;;;açıklama;değerlendirme;0;nötr;böbrek;kolşisin zehirlenmesi;akut interstisyel nefrit bulgusu var bu da antibiyotiklerin böbrek yetmezliğinin nedeni olmadığını gösteriyor;"[{""text"":""akut interstisyel nefrit"",""type"":""disease""},{""text"":""böbrek"",""type"":""anatomy""}]";0;0
1;3;foreman;öksürük,ateş,döküntü;;;;açıklama;değerlendirme;0;nötr;;kolşisin zehirlenmesi;ateşi düştü döküntüsü geriliyor ama öksürüğü sürüyor;"[{""text"":""öksürük"",""type"":""symptom""},{""text"":""ateş"",""type"":""symptom""},{""text"":""döküntü"",""type"":""symptom""}]";0;0
1;3;cameron;lökopeni;beyaz küre sayımı;;;açıklama;değerlendirme;0;endişe;;kolşisin zehirlenmesi;beyaz küre sayısı düştü vücudu artık enfeksiyonlarla savaşamayabilir;"[{""text"":""beyaz küre sayımı"",""type"":""test""},{""text"":""lökopeni"",""type"":""disease""}]";0;0
1;3;foreman;;;;kemik iliği biyopsisi;açıklama;test;0;diğer;kemik iliği;kolşisin zehirlenmesi;kemik iliği biyopsisinde viral enfeksiyon ya da fibrozis olup olmadığını görebiliriz düşük kan sayımını açıklayabilir;"[{""text"":""kemik iliği biyopsisi"",""type"":""procedure""},{""text"":""viral enfeksiyon"",""type"":""disease""},{""text"":""fibrozis"",""type"":""disease""},{""text"":""kemik iliği"",""type"":""anatomy""}]";0;0
1;3;house;;;kolşisin;;açıklama;hipotez;0;nötr;;kolşisin zehirlenmesi;kolşisin bir gut ilacıdır ve hücre bölünmesini durdurarak mitoza engel olur;"[{""text"":""kolşisin"",""type"":""drug""},{""text"":""gut"",""type"":""disease""}]";0;0
1;3;house;karın ağrısı,döküntü,bulantı,ateş,böbrek yetmezliği,düşük tansiyon;;kolşisin;;açıklama;değerlendirme;0;nötr;;kolşisin zehirlenmesi;kolşisin karın ağrısı döküntü bulantı ateş böbrek yetmezliği düşük tansiyon ve kemik iliği baskılanması yapar;"[{""text"":""kolşisin"",""type"":""drug""},{""text"":""karın ağrısı"",""type"":""symptom""},{""text"":""döküntü"",""type"":""symptom""},{""text"":""bulantı"",""type"":""symptom""},{""text"":""ateş"",""type"":""symptom""},{""text"":""böbrek yetmezliği"",""type"":""disease""},{""text"":""düşük tansiyon"",""type"":""symptom""}]";0;0
1;3;house;;;kolşisin;;açıklama;hipotez;1;alaycı;;kolşisin zehirlenmesi;doktor reçete yazmak için bir şey yapmak istemiş ve eczacı da öksürük ilacı yerine gut ilacı vermiş olabilir;"[{""text"":""kolşisin"",""type"":""drug""},{""text"":""öksürük ilacı"",""type"":""drug""},{""text"":""gut ilacı"",""type"":""drug""}]";0;0
1;3;house;;;;;açıklama;değerlendirme;0;nötr;;kolşisin zehirlenmesi;sorun bitmedi yanlış ilaç teorisi tek başına her şeyi açıklamıyor bir şey hâlâ kanında dolaşıyor;[];0;0
1;3;wilson;;;;;hipotez;hipotez;0;nötr;;kolşisin zehirlenmesi;lenfoma olabilir mi;"{""text"":""lenfoma"",""type"":""disease""}";1;0
1;3;house;;bt,tks,kemik iliği incelemesi;;;açıklama;test;0;nötr;;kolşisin zehirlenmesi;bt'de lenf bezi büyümesi yoktu kan yayması normaldi kemik iliği de temizdi bu yüzden lenfomayı dışlamıştık;"[{""text"":""bt"",""type"":""test""},{""text"":""kan yayması"",""type"":""test""},{""text"":""kemik iliği incelemesi"",""type"":""test""},{""text"":""lenfoma"",""type"":""disease""}]";0;0
1;3;wilson;;;;eksploratif laparotomi;hipotez;test;0;nötr;karın;kolşisin zehirlenmesi;o zaman eksploratif laparotomi yapıp karında ne olduğunu görelim;"{""text"":""eksploratif laparotomi"",""type"":""procedure""}";0;0
1;3;house;;;;;açıklama;değerlendirme;0;endişe;;kolşisin zehirlenmesi;tansiyonu yok bağışıklık sistemi çökmüş böbrekleri çalışmıyor cerrahi onu öldürür;"[{""text"":""düşük tansiyon"",""type"":""symptom""},{""text"":""bağışıklık yetmezliği"",""type"":""disease""},{""text"":""böbrek yetmezliği"",""type"":""disease""}]";0;0
1;3;foreman;;;;pulmoner arter kateterizasyonu;açıklama;test;0;nötr;kalp,akciğer;kolşisin zehirlenmesi;tüpü kalpten geçirip akciğerdeki pulmoner arterlere ilerleteceğiz;"[{""text"":""pulmoner arter kateterizasyonu"",""type"":""procedure""},{""text"":""kalp"",""type"":""anatomy""},{""text"":""akciğer"",""type"":""anatomy""}]";0;0
1;3;chase;ektopi;;;;açıklama;test;0;endişe;kalp;kolşisin zehirlenmesi;kalp duvarını irrite ettiniz ektopi gelişti;"[{""text"":""ektopi"",""type"":""disease""},{""text"":""kalp"",""type"":""anatomy""}]";0;0
1;3;chase;aritmi;;;;açıklama;değerlendirme;0;endişe;kalp;kolşisin zehirlenmesi;herhangi bir aritmiyi tolere edemez kateteri geri çekin;"[{""text"":""aritmi"",""type"":""disease""},{""text"":""kalp"",""type"":""anatomy""}]";0;0
1;3;cameron;;;;defibrilasyon;açıklama;test;0;endişe;kalp;kolşisin zehirlenmesi;basıncı düştü ritmi geri getirmek için şok veriyoruz;"[{""text"":""defibrilasyon"",""type"":""procedure""},{""text"":""kalp"",""type"":""anatomy""}]";0;0
1;3;cameron;parmak ağrısı;;gcsf;;hipotez;test;0;nötr;parmaklar;kolşisin zehirlenmesi;parmaklarında ağrı başladı beyaz küre sayısını geçici olarak yükseltmek için gcsf dozunu iki katına çıkarmalıyız;"[{""text"":""parmak ağrısı"",""type"":""symptom""},{""text"":""gcsf"",""type"":""drug""}]";0;0
1;3;house;;;kolşisin;;açıklama;değerlendirme;0;nötr;;kolşisin zehirlenmesi;organların hücre yenileme hızları farklıdır bu yüzden kolşisin zehirlenmesinin belirtileri aynı anda değil sırayla ortaya çıkar;"[{""text"":""kolşisin"",""type"":""drug""},{""text"":""kolşisin zehirlenmesi"",""type"":""disease""}]";0;0
1;3;house;karın ağrısı,döküntü,ateş;;kolşisin;;açıklama;değerlendirme;0;nötr;;kolşisin zehirlenmesi;ilk önce karın ağrısı döküntü ve ateş başlar;"[{""text"":""karın ağrısı"",""type"":""symptom""},{""text"":""döküntü"",""type"":""symptom""},{""text"":""ateş"",""type"":""symptom""},{""text"":""kolşisin"",""type"":""drug""}]";0;0
1;3;house;böbrek yetmezliği;;kolşisin;;açıklama;değerlendirme;0;nötr;böbrek;kolşisin zehirlenmesi;sonra böbrekler etkilenir ve yetmezlik gelişir;"[{""text"":""böbrek yetmezliği"",""type"":""disease""},{""text"":""böbrek"",""type"":""anatomy""}]";0;0
1;3;house;kemik iliği baskılanması;;kolşisin;;açıklama;değerlendirme;0;nötr;kemik iliği;kolşisin zehirlenmesi;ardından kemik iliği baskılanır ve kan değerleri çöker;"[{""text"":""kemik iliği baskılanması"",""type"":""disease""},{""text"":""kemik iliği"",""type"":""anatomy""}]";0;0
1;3;house;nöropati,parmaklarda uyuşma;;kolşisin;;açıklama;değerlendirme;0;nötr;parmaklar;kolşisin zehirlenmesi;daha sonra nöropati gelişir el ve ayak parmaklarında ağrı ya da uyuşma başlar;"[{""text"":""nöropati"",""type"":""disease""},{""text"":""parmaklarda uyuşma"",""type"":""symptom""}]";0;0
1;3;house;saç dökülmesi;;kolşisin;;açıklama;değerlendirme;0;nötr;;kolşisin zehirlenmesi;bir sonraki belirti saç dökülmesidir;"{""text"":""saç dökülmesi"",""type"":""symptom""}";0;0
1;3;house;;;;;açıklama;hipotez;1;alaycı;;kolşisin zehirlenmesi;kötü haber şu bu çocuk uyuşturucu kullanıyor;[];0;0
1;3;brandon;;;ekstazi;;açıklama;hipotez;0;nötr;;kolşisin zehirlenmesi;sadece iki kez ekstazi kullandım;"{""text"":""ekstazi"",""type"":""drug""}";0;0
